"id","source_path","role","reported_size_or_count","license_status","conversion_status"
"hwe-bench-hf","raw/hf/hwe-bench","decision supervision","417 fail-to-pass cases","Apache-2.0 dataset metadata; upstream repositories retained","pending adapter"
"HierSVA","raw/hf/HierSVA","formal decision supervision + context","342 modules; 28 bug variants","Solderpad Hardware License 2.1 plus BaseJump provenance","pending adapter"
"root-cause-bench","raw/github/root-cause-bench","decision supervision","34 manually labelled bugs","Apache-2.0 repository; fixture licenses audit","pending adapter"
"Inspect-Eval-ChipBench","raw/github/Inspect-Eval-ChipBench","debug evaluation + supervision","debugging task suite; simulator-based","MIT harness; benchmark artifact audit","pending adapter"
"origen-dataset-debug","raw/hf/origen-dataset-debug","debug context / repair pairs","5,444 instruction-response rows","GPL-3.0 dataset metadata","pending parser and simulator validation"
"rtl-augmented","raw/hf/rtl-augmented","validated synthetic mutations","1,205 generated problems; 54.9% augmentation success","MIT","pending sim-status filter"
"CircuitNet3","raw/hf/CircuitNet3","EDA/PPA context and mutation material","8,659 designs; 15,863 augmented instances reported","Apache-2.0 dataset metadata","pending artifact inventory"
"HierSVACodeAndArtifacts","raw/github/HierSVACodeAndArtifacts","formal generation/evaluation tooling","benchmark scripts and artifacts","repository and upstream licenses audit","pending tool audit"
"hwe-bench-code","raw/github/hwe-bench","evaluation harness","Docker/evaluation tooling","Apache-2.0 repository","pending tool audit"
"CircuitNet3-code","raw/github/CircuitNet3-code","CircuitNet mutation/utilities","mutation and RTL/testbench descriptions","repository license audit","pending tool audit"
"circuitnet-extracted","extracted/CircuitNet3/circuitNetv3","extracted EDA artifacts","RTL/netlists/final features/power","Apache-2.0 dataset metadata; upstream artifacts audit","extracted; pending validation"
